sample	stable_mse	final_mse	gain	mapping_gate	shape_gate	scale_gate	shift_gate	pattern_entropy
924	0.580154717	0.580154717	0	0	0.2708864808	0.2065531462	0.8666303754	4.123012543
925	0.6807637811	0.6807637811	0	0	0.2738557458	0.2110860199	0.8593831658	4.122945309
926	0.6215398312	0.6215398312	0	0	0.2651581168	0.2274644524	0.8510432243	4.122667313
927	0.6061957479	0.6061957479	0	0	0.25897488	0.2228968889	0.8432483673	4.122326374
928	0.6151854992	0.6151854992	0	0	0.2584376633	0.2112160623	0.8475912213	4.122255802
929	0.6002585292	0.6002585292	0	0	0.2494622469	0.2384130806	0.8487065434	4.122319221
930	0.5977585316	0.5977585316	0	0	0.249156341	0.2396527529	0.8518339992	4.122365952
931	0.5855027437	0.5855027437	0	0	0.2571849227	0.2260447294	0.8559991717	4.122570515
932	0.5757487416	0.5757487416	0	0	0.2606093287	0.2397697121	0.860471189	4.123233795
933	0.5915961266	0.5915961266	0	0	0.262113452	0.2514235973	0.8555585146	4.123376846
934	0.6008984447	0.6008984447	0	0	0.2607733309	0.2465199679	0.8484538198	4.123022556
935	0.5881127119	0.5881127119	0	0	0.2543170154	0.2524469793	0.8464289904	4.122820854
936	0.557751298	0.557751298	0	0	0.2473417073	0.252327621	0.8412425518	4.122921467
937	0.5536936522	0.5536936522	0	0	0.2403195202	0.2548174858	0.8327507973	4.122876644
938	0.5854606628	0.5854606628	0	0	0.2389122397	0.2638036013	0.8338628411	4.122959137
939	0.5476453304	0.5476453304	0	0	0.2451759726	0.2499233484	0.8336977363	4.123177528
940	0.5812083483	0.5812083483	0	0	0.2481299788	0.2686590552	0.8400176764	4.123514175
941	0.5558430552	0.5558430552	0	0	0.255240202	0.2635480464	0.8411266804	4.123456478
942	0.5523069501	0.5523069501	0	0	0.2528328001	0.2672453523	0.8342021108	4.123241425
943	0.5466582775	0.5466582775	0	0	0.2475482374	0.267018646	0.8327746391	4.123079777
944	0.5250521302	0.5250521302	0	0	0.2407597601	0.2681709826	0.8317662477	4.12302494
945	0.5288002491	0.5288002491	0	0	0.2366211712	0.2710156143	0.8304684758	4.123136997
946	0.5912241936	0.5912241936	0	0	0.2390140295	0.2799579203	0.8426592946	4.123204708
947	0.5620026588	0.5620026588	0	0	0.2485822886	0.2623666525	0.8466871977	4.123330116
948	0.5675644875	0.5675644875	0	0	0.250087738	0.2790284753	0.8469511867	4.123466492
949	0.5500681996	0.5500681996	0	0	0.2558642924	0.2625760734	0.8433449864	4.123488426
950	0.5482931137	0.5482931137	0	0	0.2530105114	0.2665853202	0.8347654939	4.123038292
951	0.5636874437	0.5636874437	0	0	0.2448862791	0.2724083364	0.8229568005	4.122663975
952	0.5606206656	0.5606206656	0	0	0.2412766665	0.2750698924	0.8283541799	4.123093605
953	0.6067544222	0.6067544222	0	0	0.2369966954	0.2859229147	0.832441628	4.122824669
954	0.5941309929	0.5941309929	0	0	0.2416314781	0.2697483003	0.8434442878	4.123063087
955	0.5526946187	0.5526946187	0	0	0.2496875525	0.2563208938	0.8464466333	4.123185158
956	0.6237610579	0.6237610579	0	0	0.24778907	0.2880571187	0.8453348875	4.123476982
957	0.6103588939	0.6103588939	0	0	0.2550739348	0.2786491513	0.8472126722	4.123474598
958	0.5982867479	0.5982867479	0	0	0.2564225495	0.2704328895	0.8440993428	4.123212337
959	0.579513967	0.579513967	0	0	0.2498982996	0.2709957361	0.8362492919	4.12313652
960	0.5894617438	0.5894617438	0	0	0.2434575856	0.2780542672	0.8355366588	4.12330246
961	0.5677881241	0.5677881241	0	0	0.2398325652	0.2675070465	0.8317805529	4.122992516
962	0.5838804245	0.5838804245	0	0	0.2431933135	0.2687396109	0.8412002325	4.123319626
963	0.5882555842	0.5882555842	0	0	0.2472375929	0.2671988904	0.8420823216	4.123325348
964	0.601251483	0.601251483	0	0	0.2489801645	0.2783316076	0.842320025	4.123663425
965	0.5739281774	0.5739281774	0	0	0.2545182407	0.2685338855	0.8397360444	4.12364006
966	0.5828511119	0.5828511119	0	0	0.2539794743	0.2701081932	0.8341910243	4.123517036
967	0.5688058138	0.5688058138	0	0	0.2528181374	0.2529551089	0.8327173591	4.122904301
968	0.5758148432	0.5758148432	0	0	0.2434117645	0.2642194629	0.828201592	4.122941017
969	0.5916436315	0.5916436315	0	0	0.2392182797	0.2728670239	0.8320968151	4.122967243
970	0.5862728953	0.5862728953	0	0	0.2458713651	0.2663174272	0.8458307385	4.123119354
971	0.5331941247	0.5331941247	0	0	0.2545255721	0.2483839691	0.8468317389	4.123250484
972	0.543225646	0.543225646	0	0	0.2594456077	0.2584428191	0.844529748	4.123249054
973	0.503644526	0.503644526	0	0	0.2618613839	0.2394358963	0.8364337087	4.123246193
974	0.4881091416	0.4881091416	0	0	0.255420357	0.2550127208	0.8291668892	4.122694016
975	0.4938240647	0.4938240647	0	0	0.2490030974	0.2516947091	0.8205996752	4.122394562
976	0.515437603	0.515437603	0	0	0.2449119389	0.2537009716	0.8222554326	4.122916698
977	0.4898611605	0.4898611605	0	0	0.2455122322	0.2316048294	0.820882678	4.122382641
978	0.5088102818	0.5088102818	0	0	0.2453023791	0.253398329	0.8338063359	4.122663975
979	0.4766938686	0.4766938686	0	0	0.2534416914	0.2411563247	0.8394809961	4.123143673
980	0.5105547905	0.5105547905	0	0	0.2558458745	0.2579818368	0.8432072997	4.123374939
981	0.481949389	0.481949389	0	0	0.2570370734	0.2439282984	0.8323667645	4.123434067
982	0.5059999824	0.5059999824	0	0	0.2514728606	0.2519974113	0.8210594654	4.123133659
983	0.4915345609	0.4915345609	0	0	0.2487245947	0.2507761419	0.8223125935	4.12250185
984	0.4559299946	0.4559299946	0	0	0.2483751625	0.246394068	0.8306817412	4.122998714
985	0.434871763	0.434871763	0	0	0.2492420524	0.2319080085	0.8349474669	4.12253046
986	0.4626715183	0.4626715183	0	0	0.2520496845	0.242955938	0.8455147743	4.122947216
987	0.4747728109	0.4747728109	0	0	0.2555133998	0.2369139045	0.842079699	4.123182774
988	0.500257194	0.500257194	0	0	0.2570529282	0.2651079595	0.8489348888	4.123344421
989	0.4603363276	0.4603363276	0	0	0.2622119486	0.2517343163	0.8469299078	4.123328209
990	0.4928601086	0.4928601086	0	0	0.2524112761	0.2705331445	0.8336607814	4.122602463
991	0.4648156464	0.4648156464	0	0	0.2537996769	0.2425837815	0.831664145	4.12282896
992	0.4553791285	0.4553791285	0	0	0.2482267171	0.2508372664	0.8349946141	4.122626305
993	0.4735185206	0.4735185206	0	0	0.2479537278	0.2586136758	0.846934557	4.122364044
994	0.4837680161	0.4837680161	0	0	0.2548792362	0.2513626516	0.8563683629	4.122537136
995	0.5132533312	0.5132533312	0	0	0.2627268434	0.2329874337	0.8532366157	4.122820377
996	0.5738033056	0.5738033056	0	0	0.2632193863	0.2586463392	0.8580506444	4.122993469
997	0.5447942019	0.5447942019	0	0	0.2659323215	0.2343696356	0.8509297371	4.123008251
998	0.5804464817	0.5804464817	0	0	0.2585566044	0.2504199743	0.8405863643	4.122241974
999	0.5658751726	0.5658751726	0	0	0.2588404119	0.2330148071	0.8406447172	4.122106075
1000	0.5880503654	0.5880503654	0	0	0.256090045	0.2353131026	0.8441439867	4.122551441
1001	0.607164681	0.607164681	0	0	0.2509871125	0.2415382117	0.843021214	4.121937752
1002	0.6006270051	0.6006270051	0	0	0.2548255622	0.2361991554	0.8517782092	4.122114182
1003	0.6039549708	0.6039549708	0	0	0.2611332536	0.2395193726	0.8583859205	4.122545719
1004	0.5996903777	0.5996903777	0	0	0.265348047	0.2464359105	0.8627998829	4.122988224
1005	0.6030928493	0.6030928493	0	0	0.2623870671	0.2458342612	0.8486709595	4.123010159
1006	0.6067659259	0.6067659259	0	0	0.2609153092	0.241006732	0.84546417	4.122348309
1007	0.5953922272	0.5953922272	0	0	0.2673197091	0.2107349783	0.8501696587	4.122038364
1008	0.5961672068	0.5961672068	0	0	0.2612232864	0.2345607877	0.8570996523	4.122616768
1009	0.6199862361	0.6199862361	0	0	0.2561881244	0.2358755618	0.8541086912	4.121901989
1010	0.6204336286	0.6204336286	0	0	0.2601951063	0.2265425026	0.8626531959	4.122330666
1011	0.6355349422	0.6355349422	0	0	0.266877979	0.218162939	0.8674213886	4.122757912
1012	0.65641433	0.65641433	0	0	0.2663841546	0.2455056757	0.8695650697	4.122937679
1013	0.6608474255	0.6608474255	0	0	0.2686798573	0.237175256	0.865270257	4.122986794
1014	0.6733387709	0.6733387709	0	0	0.2620988786	0.2562948167	0.8556646705	4.12235117
1015	0.7002801299	0.7002801299	0	0	0.2677069604	0.2331951708	0.8601698279	4.12255764
1016	0.7057856917	0.7057856917	0	0	0.2555369735	0.2510727048	0.8512652516	4.122197628
1017	0.6962152123	0.6962152123	0	0	0.254953891	0.243816033	0.8555001616	4.122138023
1018	0.7124868035	0.7124868035	0	0	0.2678872347	0.2252824157	0.8701781034	4.12205267
1019	0.6925446987	0.6925446987	0	0	0.2709016204	0.2217971981	0.8694586158	4.122301579
1020	0.6865052581	0.6865052581	0	0	0.2714978755	0.2307266444	0.8697452545	4.122391224
1021	0.6578100324	0.6578100324	0	0	0.2694639266	0.2213864774	0.8583403826	4.122691154
1022	0.6789685488	0.6789685488	0	0	0.264893204	0.2375578135	0.8525761962	4.12206459
