sample,mae_with_control,mae_without_control,better
838,0.6003408432006836,0.6003408432006836,no_control
839,0.6048954725265503,0.6048954725265503,no_control
840,0.6098743677139282,0.6098743677139282,no_control
841,0.6144170165061951,0.6144170165061951,no_control
842,0.6158875226974487,0.6158875226974487,no_control
843,0.6194754838943481,0.6194754838943481,no_control
844,0.6277909874916077,0.6277909874916077,no_control
845,0.6304234862327576,0.6304234862327576,no_control
846,0.6338227987289429,0.6338227987289429,no_control
847,0.6296243667602539,0.6296243667602539,no_control
848,0.6237791180610657,0.6237791180610657,no_control
849,0.6275129914283752,0.6275129914283752,no_control
850,0.6290555596351624,0.6290555596351624,no_control
851,0.6281333565711975,0.6281333565711975,no_control
852,0.6260925531387329,0.6260925531387329,no_control
853,0.6239476799964905,0.6239476799964905,no_control
854,0.6238154768943787,0.6238154768943787,no_control
855,0.6203502416610718,0.6203502416610718,no_control
856,0.6134320497512817,0.6134320497512817,no_control
857,0.6149544715881348,0.6149544715881348,no_control
858,0.6205912828445435,0.6205912828445435,no_control
859,0.6245706677436829,0.6245706677436829,no_control
860,0.6284940838813782,0.6284940838813782,no_control
861,0.6324863433837891,0.6324863433837891,no_control
862,0.6371636986732483,0.6371636986732483,no_control
863,0.6410468816757202,0.6410468816757202,no_control
864,0.6462012529373169,0.6462012529373169,no_control
865,0.6531349420547485,0.6531349420547485,no_control
866,0.659630537033081,0.659630537033081,no_control
867,0.6666828393936157,0.6666828393936157,no_control
868,0.6724720597267151,0.6724720597267151,no_control
869,0.6743226647377014,0.6743226647377014,no_control
870,0.6707261800765991,0.6707261800765991,no_control
871,0.6663233041763306,0.6663233041763306,no_control
872,0.6722984313964844,0.6722984313964844,no_control
873,0.6723600029945374,0.6723600029945374,no_control
874,0.6741231679916382,0.6741231679916382,no_control
875,0.67002272605896,0.67002272605896,no_control
876,0.6651332378387451,0.6651332378387451,no_control
877,0.6806401610374451,0.6806401610374451,no_control
878,0.6852256059646606,0.6852256059646606,no_control
879,0.694756031036377,0.694756031036377,no_control
880,0.7006710767745972,0.7006710767745972,no_control
881,0.7118446230888367,0.7118446230888367,no_control
882,0.7228920459747314,0.7228920459747314,no_control
883,0.7318720817565918,0.7318720817565918,no_control
884,0.7428295612335205,0.7428295612335205,no_control
885,0.7529404163360596,0.7529404163360596,no_control
886,0.7608088850975037,0.7608088850975037,no_control
887,0.770195484161377,0.770195484161377,no_control
888,0.78094083070755,0.78094083070755,no_control
889,0.7905557155609131,0.7905557155609131,no_control
890,0.8042945861816406,0.8042945861816406,no_control
891,0.8162470459938049,0.8162470459938049,no_control
892,0.8248813152313232,0.8248813152313232,no_control
893,0.8331820368766785,0.8331820368766785,no_control
894,0.8413507342338562,0.8413507342338562,no_control
895,0.8529835939407349,0.8529835939407349,no_control
896,0.8652596473693848,0.8652596473693848,no_control
897,0.870090663433075,0.870090663433075,no_control
898,0.8754794001579285,0.8754794001579285,no_control
899,0.8727929592132568,0.8727929592132568,no_control
900,0.8719933032989502,0.8719933032989502,no_control
901,0.8696392774581909,0.8696392774581909,no_control
902,0.871802568435669,0.871802568435669,no_control
903,0.8840054273605347,0.8840054273605347,no_control
904,0.8921946883201599,0.8921946883201599,no_control
905,0.8964530825614929,0.8964530825614929,no_control
906,0.8983993530273438,0.8983993530273438,no_control
907,0.8991900086402893,0.8991900086402893,no_control
908,0.9005195498466492,0.9005195498466492,no_control
909,0.8981202840805054,0.8981202840805054,no_control
910,0.895982027053833,0.895982027053833,no_control
911,0.8961890935897827,0.8961890935897827,no_control
912,0.893069326877594,0.893069326877594,no_control
913,0.8896927833557129,0.8896927833557129,no_control
914,0.8858250379562378,0.8858250379562378,no_control
915,0.8851514458656311,0.8851514458656311,no_control
916,0.8781638741493225,0.8781638741493225,no_control
917,0.8732782006263733,0.8732782006263733,no_control
918,0.8714437484741211,0.8714437484741211,no_control
919,0.8747075796127319,0.8747075796127319,no_control
920,0.8669235706329346,0.8669235706329346,no_control
921,0.866126298904419,0.866126298904419,no_control
922,0.8537094593048096,0.8537094593048096,no_control
923,0.853168785572052,0.853168785572052,no_control
924,0.8657950758934021,0.8657950758934021,no_control
925,0.8654631972312927,0.8654631972312927,no_control
926,0.8567880988121033,0.8567880988121033,no_control
927,0.8435859680175781,0.8435859680175781,no_control
928,0.8371491432189941,0.8371491432189941,no_control
929,0.8259426355361938,0.8259426355361938,no_control
930,0.8145076632499695,0.8145076632499695,no_control
931,0.8072055578231812,0.8072055578231812,no_control
932,0.798424482345581,0.798424482345581,no_control
933,0.7898913025856018,0.7898913025856018,no_control
934,0.7839075922966003,0.7839075922966003,no_control
935,0.7736785411834717,0.7736785411834717,no_control
936,0.7641648650169373,0.7641648650169373,no_control
937,0.7522767782211304,0.7522767782211304,no_control
938,0.7350562810897827,0.7350562810897827,no_control
939,0.7170363068580627,0.7170363068580627,no_control
940,0.7046621441841125,0.7046621441841125,no_control
941,0.6943790316581726,0.6943790316581726,no_control
942,0.687343955039978,0.687343955039978,no_control
943,0.6790463924407959,0.6790463924407959,no_control
944,0.672264039516449,0.672264039516449,no_control
945,0.6689124703407288,0.6689124703407288,no_control
946,0.6677974462509155,0.6677974462509155,no_control
947,0.6738530397415161,0.6738530397415161,no_control
948,0.6733640432357788,0.6733640432357788,no_control
949,0.6786141991615295,0.6786141991615295,no_control
950,0.6788802146911621,0.6788802146911621,no_control
951,0.6714388132095337,0.6714388132095337,no_control
952,0.6673195362091064,0.6673195362091064,no_control
953,0.6653429865837097,0.6653429865837097,no_control
954,0.6609753966331482,0.6609753966331482,no_control
955,0.6614590883255005,0.6614590883255005,no_control
956,0.6591050028800964,0.6591050028800964,no_control
957,0.658253014087677,0.658253014087677,no_control
958,0.6571452617645264,0.6571452617645264,no_control
959,0.6583414673805237,0.6583414673805237,no_control
960,0.6567963361740112,0.6567963361740112,no_control
961,0.6574037075042725,0.6574037075042725,no_control
962,0.6574845910072327,0.6574845910072327,no_control
963,0.6529576778411865,0.6529576778411865,no_control
964,0.6538349986076355,0.6538349986076355,no_control
965,0.6539512276649475,0.6539512276649475,no_control
966,0.656274139881134,0.656274139881134,no_control
967,0.6543660759925842,0.6543660759925842,no_control
968,0.6558356881141663,0.6558356881141663,no_control
969,0.6528007984161377,0.6528007984161377,no_control
970,0.6636232733726501,0.6636232733726501,no_control
971,0.6764040589332581,0.6764040589332581,no_control
972,0.676729679107666,0.676729679107666,no_control
973,0.6778333783149719,0.6778333783149719,no_control
974,0.6905314922332764,0.6905314922332764,no_control
975,0.704452395439148,0.704452395439148,no_control
976,0.7126781344413757,0.7126781344413757,no_control
977,0.7139698266983032,0.7139698266983032,no_control
978,0.7128848433494568,0.7128848433494568,no_control
979,0.7114260792732239,0.7114260792732239,no_control
980,0.7089388370513916,0.7089388370513916,no_control
981,0.7044481635093689,0.7044481635093689,no_control
982,0.7034730315208435,0.7034730315208435,no_control
983,0.7031823396682739,0.7031823396682739,no_control
984,0.696738600730896,0.696738600730896,no_control
985,0.6933727264404297,0.6933727264404297,no_control
986,0.6974246501922607,0.6974246501922607,no_control
987,0.6995889544487,0.6995889544487,no_control
988,0.703195333480835,0.703195333480835,no_control
989,0.7041295170783997,0.7041295170783997,no_control
990,0.7030199766159058,0.7030199766159058,no_control
991,0.7047183513641357,0.7047183513641357,no_control
992,0.7063454985618591,0.7063454985618591,no_control
993,0.7049134969711304,0.7049134969711304,no_control
994,0.7067331671714783,0.7067331671714783,no_control
995,0.7124261260032654,0.7124261260032654,no_control
996,0.709399402141571,0.709399402141571,no_control
997,0.7055790424346924,0.7055790424346924,no_control
998,0.7033431529998779,0.7033431529998779,no_control
999,0.7091614007949829,0.7091614007949829,no_control
1000,0.7078567147254944,0.7078567147254944,no_control
1001,0.7066888809204102,0.7066888809204102,no_control
1002,0.7087174654006958,0.7087174654006958,no_control
1003,0.7097920179367065,0.7097920179367065,no_control
1004,0.7114225029945374,0.7114225029945374,no_control
1005,0.7123591899871826,0.7123591899871826,no_control
1006,0.7140356302261353,0.7140356302261353,no_control
1007,0.7158974409103394,0.7158974409103394,no_control
1008,0.7209650874137878,0.7209650874137878,no_control
1009,0.72057044506073,0.72057044506073,no_control
1010,0.7162372469902039,0.7162372469902039,no_control
1011,0.7175155282020569,0.7175155282020569,no_control
1012,0.7152164578437805,0.7152164578437805,no_control
1013,0.7211730480194092,0.7211730480194092,no_control
1014,0.7211561799049377,0.7211561799049377,no_control
1015,0.7209956645965576,0.7209956645965576,no_control
1016,0.7225669622421265,0.7225669622421265,no_control
1017,0.7282407283782959,0.7282407283782959,no_control
1018,0.7183614373207092,0.7183614373207092,no_control
1019,0.704774022102356,0.704774022102356,no_control
1020,0.68620365858078,0.68620365858078,no_control
1021,0.6610025763511658,0.6610025763511658,no_control
1022,0.6402936577796936,0.6402936577796936,no_control
1023,0.6290667653083801,0.6290667653083801,no_control
1024,0.6212430000305176,0.6212430000305176,no_control
1025,0.6214310526847839,0.6214310526847839,no_control
1026,0.6285015940666199,0.6285015940666199,no_control
1027,0.6293052434921265,0.6293052434921265,no_control
1028,0.6299271583557129,0.6299271583557129,no_control
1029,0.6348049640655518,0.6348049640655518,no_control
1030,0.631165623664856,0.631165623664856,no_control
1031,0.6310547590255737,0.6310547590255737,no_control
1032,0.6354527473449707,0.6354527473449707,no_control
1033,0.6377834677696228,0.6377834677696228,no_control
1034,0.6379895210266113,0.6379895210266113,no_control
1035,0.6373229622840881,0.6373229622840881,no_control
1036,0.634158194065094,0.634158194065094,no_control
1037,0.6338695287704468,0.6338695287704468,no_control
1038,0.6317771673202515,0.6317771673202515,no_control
1039,0.6317554116249084,0.6317554116249084,no_control
1040,0.6309390068054199,0.6309390068054199,no_control
1041,0.630045473575592,0.630045473575592,no_control
1042,0.6389099359512329,0.6389099359512329,no_control
1043,0.6502088904380798,0.6502088904380798,no_control
1044,0.6688439846038818,0.6688439846038818,no_control
1045,0.6824760437011719,0.6824760437011719,no_control
1046,0.6873279213905334,0.6873279213905334,no_control
1047,0.6994948983192444,0.6994948983192444,no_control
1048,0.712499737739563,0.712499737739563,no_control
1049,0.7240622043609619,0.7240622043609619,no_control
1050,0.7206021547317505,0.7206021547317505,no_control
1051,0.7155115008354187,0.7155115008354187,no_control
1052,0.7134090065956116,0.7134090065956116,no_control
1053,0.7144851088523865,0.7144851088523865,no_control
1054,0.7119687795639038,0.7119687795639038,no_control
1055,0.7108563184738159,0.7108563184738159,no_control
1056,0.7083597183227539,0.7083597183227539,no_control
1057,0.717984676361084,0.717984676361084,no_control
1058,0.7328101992607117,0.7328101992607117,no_control
1059,0.7442276477813721,0.7442276477813721,no_control
1060,0.7574278712272644,0.7574278712272644,no_control
1061,0.7642951607704163,0.7642951607704163,no_control
1062,0.7696112990379333,0.7696112990379333,no_control
1063,0.7757144570350647,0.7757144570350647,no_control
1064,0.7864530682563782,0.7864530682563782,no_control
1065,0.7845945954322815,0.7845945954322815,no_control
1066,0.787096381187439,0.787096381187439,no_control
